"target","2015","act","also","america","american","americans","can","care","country","ensure","every","families","federal","first","get","health","help","hillary","including","just","like","make","many","national","need","new","people","plan","president","state","states","support","time","will","work","years","back","bring","business","companies","donald","dont","end","even","government","great","immigration","interests","job","jobs","keep","leave","less","long","may","much","needs","now","number","one","order","pay","place","politicians","put","right","second","since","stop","tax","trade","trump","wall","want","washington","well","working","world","year"
"1. Hilary",0,3,2,1,1,3,2,3,0,4,1,0,1,1,1,2,1,15,2,1,1,1,2,4,0,0,18,1,3,2,6,4,1,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,1,1,0,1,1,5,4,0,4,1,4,1,0,0,3,3,8,1,1,1,4,0,1,1,1,1,8,0,1,1,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",0,1,5,16,6,8,11,1,18,0,8,5,0,3,6,0,1,0,1,14,8,5,6,1,19,3,17,0,14,2,4,2,7,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",0,4,2,0,2,3,6,1,0,2,2,8,0,1,3,3,2,7,2,0,0,1,3,0,1,3,1,3,1,0,2,4,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,2,3,0,0,0,1,1,1,3,3,0,0,1,0,1,0,10,0,0,2,2,1,0,4,0,0,1,1,1,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",2,0,1,7,6,2,1,0,4,4,4,4,1,1,1,2,1,12,0,1,0,6,0,4,1,8,0,6,4,0,2,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,2,1,0,2,0,0,0,2,5,3,2,0,1,0,3,6,0,0,0,3,0,0,2,4,0,5,0,2,2,2,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",2,2,1,1,1,1,2,1,2,1,2,0,11,2,0,5,1,14,5,0,0,2,0,3,1,2,1,2,1,3,2,2,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",0,3,5,12,22,9,4,0,4,0,3,5,0,3,3,0,4,0,1,9,7,9,8,0,3,16,18,0,8,3,8,6,5,19,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,4,0,0,0,9,1,0,1,0,0,1,0,2,0,0,1,5,1,0,0,0,4,0,0,0,2,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,0,0,3,0,0,0,3,0,3,6,1,2,1,0,0,0,7,1,0,1,0,0,2,0,2,0,0,0,0,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. Hilary",1,3,3,1,0,2,1,0,0,1,0,1,5,1,0,0,0,17,1,1,0,2,2,0,0,0,3,0,3,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
