Brand,Name,Model No,Price,Color,ControlType,CookingSurface,OvenCleaningMethod,Depth,Height,MainOvenCapacityCuFt,Weight,Width,BroilerBurnerBTUs,MainOvenBakeBurnerBTUs ,MainOvenNumberofRackPositions,NumberofElementsBurners,NumberofOvenRacks,NumberofOvens,OvenType
Kenmore,Kenmore  4.2 cu. ft. Gas Range w/ Broil & Serve Drawer,73232,488,White,Electric,Gas: sealed burners,Standard clean,28.406,47.75,4.2,168,29.875,18000,18000,5,4,2,Single oven,Standard
Kenmore,Kenmore 5.0 cu. ft. Freestanding Gas Range w/ Convection,74233,828,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,28.406,47.75,5,186,29.875,13500,18000,6,5,2,Single oven,Convection
Kenmore,Kenmore 5.6 cu. ft. Gas Range w/ True Convection,74333,920,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,28.406,47.75,5.6,186,29.875,13500,18000,6,5,2,Single oven,Convection
Kenmore,Kenmore 5.0 cu. ft. Freestanding Gas Range w/Variable Self-Clean,74133,736,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,28.406,47.75,5,180,29.875,13500,18000,6,5,2,Single oven,Standard
LG,LG 6.1 cu. ft. Double-Oven Gas Range w/EasyClean,LDG3036ST,1800,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,27.875,47.5,3.9,233,29.9,14500,16000,5,5,3,Double oven,Convection
Whirlpool,Whirlpool 5.1 cu. ft. Gas Range w/ Griddle,WFG505M0BS,657,Stainless steel,,Gas: sealed burners,Standard clean,27.2,46.25,5.1,136,29.88,16500,16500,5,5,2,Single oven,Standard
Samsumng,Samsung 5.8 cu. ft. Gas Range w/ Griddle,NX58F5500SS,717,Stainless steel,Electric,Electric: radiant glass surface,Self-cleaning,23.68,46.59,5.8,188,29.81,13500,18000,,,,Single oven,Convection
LG,LG 5.4 cu. ft. Freestanding Gas Range,LRG3095ST,1500,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,28.75,36,5.4,231,29.938,15500,18000,7,5,2,Single oven,Convection
GE,"GE 30"" Slide-In Gas Range",JGS650SEFSS,1619,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,29.38,39.25,5.6,225,30,13500,16000,,4,2,Single oven,Standard
LG,LG 6.1 cu. ft. Double-Oven Gas Range w/EasyClean,LDG3035ST,1600,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,27.875,47.5,3.9,233,29.9,14500,16000,5,5,3,Double oven,Standard
Hotpoint,"Hotpoint 3 cu. ft. 24"" Gas Range",RGA724EKWH,521,White,Mechanical,Gas: open (standard) burners,Standard clean,26.5,40,3,122,24,13000,13000,4,4,2,Single oven,Standard
Electrolux,"Electrolux 30"" Gas Slide-In Electric Range w/ Wave-Touch",EW30GS75KS,2699,Stainless steel,Digital,Gas: sealed burners,Self-cleaning,28.312,"36.625
",4.2,250,30,11500,18000,7,5,3,Single oven,Convection
Frigidaire,Frigidaire Gallery 5.0 cu. ft.,FGGF3054MW,854,White,Digital,Gas: sealed burners,Self-cleaning,28.406,47.75,5,210,30,,,6,5,3,Single oven,Convection
Frigidaire,Frigidaire Professional 4.6 cu. ft.,FPGS3085PF,1799,Stainless steel,Digital,Gas: open (standard) burners,Standard clean ,28.312,36.625,4.6,232,30,11500,18000,5,4,3,Single oven,Convection
Kenmore,"Kenmore 30"" Slide-In Gas Range",32603,1288,Stainless steel,Digital,Gas: sealed burners,Self-cleaning,28.31,36.625,4.5,205,31.5,11500,18000,4,4,2,Single oven,Standard
Kenmore,Kenmore Elite 5.8 cu. ft. Double-Oven Gas Range,78903,1840,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,26.5,48,3.5,237,30,10000,11500,4,5,4,Double oven,Convection
Kenmore,Kenmore 5.6 cu. ft. Gas Range w/ True Convection,74332,828,White,Electric,Gas: sealed burners,Self-cleaning,28.406,47.75,5.6,186,29.875,13500,18000,6,5,2,Single oven,Convection
Kenmore,"Kenmore 30"" Slide-In Gas Range w/Convection Cooking",32613,1564,Stainless steel,Digital,Gas: sealed burners,Self-cleaning,28.31,36.625,4.5,240,31.5,14000,18000,4,4,3,Single oven,Convection
GE,"GE 30"" Slide-In Gas Range", JGS750SEFSS,2159,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,29.38,39.25,5.6,225,30,13500,16000,,5,3,Single oven,Convection
Kenmore,"Kenmore Elite 30"" Slide-In Gas Range",31073,2400,Stainless steel,,Gas: sealed burners,Self-cleaning,28.313,35.625,4.2,225,31.313,11500,18000,4,4,3,Single oven,Convection
Kenmore,Kenmore 4.2 cu. ft. Gas Range,73234,488,Beige & Bisque,Electric,Gas: sealed burners,Standard clean,28.406,47.75,4.2,168,29.875,18000,18000,5,4,2,Single oven,Standard
Kenmore,Kenmore 5.0 cu. ft. Freestanding Gas Range,74139,644,Black,Electric,Gas: sealed burners,Self-cleaning,28.406,47.75,5,180,29.875,13500,18000,6,5,2,Single oven,Standard
LG,LG 6.1 cu. ft. Double-Oven Gas Range, LDG3035SB,1394,Black,Electric,Gas: sealed burners,Self-cleaning,27.875,47.5,3.9,233,29.9,14500,16000,5,5,3,Single oven,Standard
LG,LG 6.1 cu. ft. Double-Oven Gas Range,LDG3031ST,1259,Stainless steel,Electric,Gas: sealed burners,Self-cleaning,27.875,47.5,3.9,228,29.9,14500,16000,5,4,3,Double oven,Standard
Samsumng,Samsung 5.8 cu. ft. Gas Range,NX58F5500SB,717,Black,Electric,Electric: radiant glass surface,Self-cleaning,23.68,46.59,5.8,188,29.81,13500,18000,,5,,Single oven,Convection
